Id;Tipo Muert.;Provincia;Canton;Area del Hecho;Lugar;Tipo Lugar;Fecha InfracciÛn;Hora Infraccion;Arma;Tipo Arma;Probable Causa M.;Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anos;Mes
2554;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;14/5/23;17:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2555;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;14/5/23;17:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2556;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;14/5/23;06:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;41;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2557;ASESINATO;GUAYAS;BALAO;RURAL;VIA PUBLICA;PUBLICO;14/5/23;16:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2558;ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;19:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;31;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2559;ASESINATO;GUAYAS;EMPALME;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2560;ASESINATO;GUAYAS;EMPALME;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;34;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2561;ASESINATO;ORELLANA;PUERTO FRANCISCO DE ORELLANA;RURAL;VIA PUBLICA;PUBLICO;14/5/23;22:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;41;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2562;ASESINATO;GUAYAS;SAN JACINTO DE YAGUACHI;RURAL;HACIENDAS;PRIVADO;14/5/23;07:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2563;ASESINATO;ESMERALDAS;SAN LORENZO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;18:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;0;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2564;ASESINATO;SANTA ELENA;LA LIBERTAD;URBANO;VIA PUBLICA;PUBLICO;15/5/23;01:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2565;ASESINATO;ORELLANA;PUERTO FRANCISCO DE ORELLANA;RURAL;VIA PUBLICA;PUBLICO;15/5/23;02:51;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2566;ASESINATO;AZUAY;CUENCA;URBANO;VIA PUBLICA;PUBLICO;14/5/23;19:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;49;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2567;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;28;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2568;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2569;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;19;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2570;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;54;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2571;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;49;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2572;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;45;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;mayo
2573;ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;14/5/23;23:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2574;ASESINATO;GUAYAS;EMPALME;RURAL;VIA PUBLICA;PUBLICO;15/5/23;06:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;35;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;mayo
2575;ASESINATO;LOJA;CATAMAYO;RURAL;BOSQUE Y RESERVAS ECOLOGICAS;PUBLICO;15/5/23;02:00;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;25;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2576;ASESINATO;EL ORO;ARENILLAS;RURAL;TERRENO BALDIO;PUBLICO;14/5/23;11:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;28;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2577;ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;15/5/23;12:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;HOMBRE;AFRO;SOLTERO;ECUADOR;2023;mayo
2578;ASESINATO;EL ORO;SANTA ROSA;URBANO;VIA PUBLICA;PUBLICO;15/5/23;15:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2579;ASESINATO;EL ORO;MACHALA;URBANO;VIA PUBLICA;PUBLICO;15/5/23;20:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2580;ASESINATO;GUAYAS;DAULE;URBANO;VIA PUBLICA;PUBLICO;15/5/23;22:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2581;ASESINATO;GUAYAS;DAULE;URBANO;VIA PUBLICA;PUBLICO;15/5/23;22:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2582;ASESINATO;MANABI;MANTA;URBANO;VIA PUBLICA;PUBLICO;15/5/23;17:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2583;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;15/5/23;13:55;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2584;ASESINATO;GUAYAS;GUAYAQUIL;RURAL;VIA PUBLICA;PUBLICO;15/5/23;15:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;34;HOMBRE;MULATO/A;NO DETERMINADO;ECUADOR;2023;mayo
2585;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;15/5/23;20:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;54;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2586;ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;15/5/23;10:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;32;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2587;ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;15/5/23;10:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2588;ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;15/5/23;10:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2589;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CANCHAS DE USO MULTIPLE;PUBLICO;15/5/23;22:26;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2590;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CANCHAS DE USO MULTIPLE;PUBLICO;15/5/23;22:26;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;16;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2591;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CANCHAS DE USO MULTIPLE;PUBLICO;15/5/23;22:26;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;21;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2592;ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;16/5/23;05:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;56;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;mayo
2593;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;15/5/23;23:35;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;40;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2594;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;15/5/23;23:45;ARMA CONTUNDENTE;OTRO;HERIDAS CONTUSAS;34;HOMBRE;MONTUBIO/A;NO DETERMINADO;ECUADOR;2023;mayo
2595;HOMICIDIO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;10/5/23;08:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2596;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;15/5/23;18:25;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2597;ASESINATO;GUAYAS;DAULE;URBANO;VIA PUBLICA;PUBLICO;16/5/23;21:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;27;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2598;ASESINATO;GUAYAS;PLAYAS;URBANO;VIA PUBLICA;PUBLICO;16/5/23;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;55;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;mayo
2599;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;13/5/23;18:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;45;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2600;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;16/5/23;16:10;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
2601;ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;15/5/23;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;42;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;mayo
